桌子,椅子,地板,地毯,墙壁,橱柜,床,电视柜,书柜,窗帘,床被,靠枕,电视墙,天花板,沙发,门,茶几
7,7,8,5,7,7,5,7,6,4,4,4,2,4,9,7,7
木质-白色,木质-白色,木质-白色,布料-白色,瓷砖-白色,木质-白色,木质-白色,木质-白色,木质-白色,布料-白色,布料-白色,布料-白色,墙纸-黄色,瓷砖-白色,皮革-白色,吸塑-白色,木质-白色
木质-浅黄色,木质-浅黄,木质-黄色,布料-黄色,瓷砖-黄色,木质-浅黄色,木质-浅黄色,木质-浅黄色,木质-浅黄色,布料-浅黄色,布料-浅黄色,布料-黄色,墙纸-灰色,瓷砖-黄色,皮革-黄色,吸塑-黄色,木质-浅黄色
木质-黄色,木质-黄色,木质-红色,布料-灰色,瓷砖-浅蓝色,木质-黄色,木质-棕色,木质-黄色,木质-黄色,布料-灰色,布料-白色,布料-灰色,墙纸-黄色,油漆-白色,皮革-灰色,木质-白色,木质-黄色
木质-红棕色,木质-红棕色,木质-黑色,布料-红色,墙纸-白色,木质-红褐色,木质-红棕色,吸塑-白色,木质-黑色,布料-深棕色,布料-浅黄色,布料-棕色,墙纸-灰色,油漆-浅蓝色,皮革-红色,木质-浅黄色,木质-红褐色
木质-黑色,木质-黑色,大理石-白色,布料-黑色,墙纸-浅蓝色,木质-黑色,木质-黑色,吸塑-浅黄色,吸塑-白色,布料-白色,布料-白色,布料-白色,墙纸-黄色,瓷砖-白色,皮革-黑色,木质-黄色,木质-黑色
吸塑-白色,吸塑-白色,大理石-黄色,布料-白色,油漆-白色,吸塑-白色,木质-白色,大理石-白色,吸塑-浅黄色,布料-浅黄色,布料-浅黄色,布料-黄色,墙纸-灰色,瓷砖-黄色,布料-白色,木质-红色,大理石-白色
吸塑-浅黄色,吸塑-浅黄色,地板革-白色,布料-黄色,油漆-浅蓝色,吸塑-浅黄色,木质-浅黄色,大理石-浅黄色,木质-白色,布料-灰色,布料-白色,布料-灰色,墙纸-黄色,油漆-白色,布料-黄色,木质-黑色,大理石-黄色
木质-白色,木质-白色,地板革-浅蓝色,布料-灰色,瓷砖-白色,木质-白色,木质-棕色,木质-白色,木质-浅黄色,布料-深棕色,布料-浅黄色,布料-棕色,墙纸-灰色,油漆-浅蓝色,布料-灰色,吸塑-白色,木质-白色
木质-浅黄色,木质-浅黄,木质-白色,布料-红色,瓷砖-黄色,木质-浅黄色,木质-红棕色,木质-浅黄色,木质-黄色,布料-白色,布料-白色,布料-白色,墙纸-黄色,瓷砖-白色,布料-红色,吸塑-黄色,木质-浅黄色
